44000|2|44|2|LT proj.|Imanta Slokas 191
48000|2|48|3|LT proj.|Imanta Zentenes 2
78000|2|49|4|P. kara|centrs Brīvības 158
93200|3|68|12|Specpr.|Pļavnieki Lubānas 123
208125|4|113|2|Specpr.|Mežaparks Hamburgas 16
42250|2|33|2|Renov.|Vecmīlgrāvis Emmas 28
69500|3|60|4|LT proj.|Purvciems Dzelzavas 93
55000|2|51|4|602.|Pļavnieki J. Vācieša 8
80000|3|63|6|602.|Ziepniekkalns Ozolciema 56k1
40000|2|46|1|Hrušč.|Jugla Kvēles 29
46000|2|35|2|P. kara|centrs Tērbatas 82A
40000|2|50|1|LT proj.|Imanta Kooperatīva 3a
24000|1|26|1|P. kara|centrs Zvaigžņu 13C
47000|2|47|4|Specpr.|Āgenskalns Tapešu 24
89000|Citi|643|7|P. kara|centrs Lāčplēša 54
430000|4|122|3|Renov.|Āgenskalns Talsu 4
41500|2|37|5|Specpr.|Ķengarags Prūšu 9
109500|3|67|2|Renov.|centrs Laboratorijas 4
33500|1|38|3|Specpr.|Jaunciems Jaunciema g. 79
229000|3|85|2|Renov.|centrs Barona 14
389000|5|214|5|Jaun.|centrs Hospitāļu 23
69900|2|90|1|103.|Dārzciems Ūbeles 4
157000|3|77|5|P. kara|centrs Sadovņikova 29A
94950|3|75|4|119.|Purvciems Viršu 5
233000|4|118|3|P. kara|centrs Ģertrūdes 52
58500|2|51|8|602.|Ziepniekkalns Valdeķu 62
84500|3|69|4|Specpr.|Teika Brīvības 215B
65000|3|64|8|602.|Pļavnieki Tīnūžu 3
51000|1|44|7|M. ģim.|Purvciems Purvciema 51
145000|4|116|4|P. kara|centrs Stabu 60
120000|2|80|5|P. kara|centrs Matīsa 83
38000|1|39|4|M. ģim.|Purvciems Purvciema 48
33500|1|30|4|Hrušč.|Teika Raunas 22A
268000|3|136|4|P. kara|centrs Skolas 22
33500|2|45|4|LT proj.|Ķengarags Maskavas 273 K5
83000|2|43|1|P. kara|centrs Kazarmu 4
83000|3|53|1|Hrušč.|centrs Valdemāra 143 k 4
64500|2|51|8|Specpr.|Jugla Silciema 2
189000|5|115|1|P. kara|centrs Skolas 36a
73000|2|52|2|P. kara|Sarkandaugava Sīmaņa 9a
48000|2|48|8|Čehu pr.|Ķengarags Maskavas 281
50890|2|60|7|119.|Ziepniekkalns Ozolciema 18
